"asn","name","description","country_code","traffic_estimation","traffic_ratio","rir_country_code","rir_date_allocated"
"133648","GUJARATKUTCHNETWORK-AS","Gtpl Broadband Pvt. Ltd.","IN","50-100Gbps","Balanced","",NA
"49136","TELECOM-NETWORKS-AS","Telecommunication networks Ltd","RU","20-50Gbps","Mostly Inbound","RU",2009-04-16
"1241","FORTHNET-GR","Forthnet","GR","100-200Gbps","Mostly Inbound","EU",1993-09-01
"131293","TOT-LLI-AS-AP","TOT Public Company Limited","TH","20-50Gbps","Mostly Inbound","TH",2011-04-21
"15802","DU-AS1","Emirates Integrated Telecommunications Company PJSC","AE","500-1000Gbps","Mostly Inbound","AE",2000-10-17
"21487","SAKHATELECOM-AS","PJSC Rostelecom (Yakutsk City)","RU","","","RU",2001-12-28
"45773","HECPERN-AS-PK","PERN AS Content Servie Provider, Islamabad, Pakistan","PK","","Not Disclosed","PK",2009-05-11
"23693","TELKOMSEL-ASN-ID","PT. Telekomunikasi Selular","ID","1-5Tbps","Heavy Inbound","",NA
"17858","POWERVIS-AS-KR","LG POWERCOMM","KR","","","",NA
"135817","ESTO-AS-AP","ESTO MEDIA PRIVATE LIMITED","IN","1-5Tbps","Mostly Inbound","IN",2016-10-25
"136481","DTPL-AS-AP","Dreamlink Technologies Pvt. Ltd","IN","","Not Disclosed","IN",2017-04-04
"135386","LTG-AS-AP","LinkChina Telecom Global Limited.","HK","","Not Disclosed","HK",2016-04-29
"133720","ZESSNPL-AS-IN","Zess Networks Private Limited","IN","200-300Gbps","Mostly Inbound","",NA
"37075","ZAINUGAS","CELTEL UG a.k.a ZAIN (UG)","UG","","Not Disclosed","UG",2008-11-25
"131429","MOBIFONE-AS-VN","MOBIFONE Corporation","VN","","","",NA
"36351","SOFTLAYER","SoftLayer Technologies Inc.","US","1-5Tbps","Mostly Outbound","US",2005-12-12
"136210","ITSPECTRUM-AS-AP","IT Spectrum Company Limited","MM","20-50Gbps","Mostly Inbound","MM",2017-01-18
"32097","WII","WholeSale Internet, Inc.","US","200-300Gbps","Mostly Outbound","US",2004-02-26
"37148","globacom-as","Globacom Limited","NG","","Not Disclosed","NG",2009-09-17
"36907","TVCaboAngola","TV CABO ANGOLA, LDA","AO","50-100Gbps","Mostly Inbound","AO",2006-06-09
"133524","GTCL-AS-AP","Global Technology Co., Ltd.","MM","300-500Gbps","Heavy Inbound","MM",2014-06-06
"35598","INETCOM","Inetcom LLC","RU","1-5Tbps","Balanced","RU",2005-09-14
"43612","blizoo","Company for communications services A1 Makedonija DOOEL Skopje","MK","200-300Gbps","Mostly Inbound","MK",2007-08-31
"63741","DCNET-AS-VN","DCNET TELECOM","VN","","","",NA
"43766","MTC-KSA-AS","Mobile Telecommunication Company Saudi Arabia Joint-Stock company","SA","100-200Gbps","Heavy Inbound","SA",2007-09-25
"17709","APT","Asia Pacific Telecom","TW","200-300Gbps","Mostly Inbound","TW",2001-04-02
"37061","Safaricom","Safaricom Limited","KE","","Not Disclosed","KE",2008-10-17
"27932","Redes y Telecomunicaciones","Redes y Telecomunicaciones","HN","","Mostly Inbound","HN",2007-09-27
"48161","NG-AS","Sos. Bucuresti - Ploiesti nr. 42-44,","RO","","Mostly Outbound","RO",2008-10-21
"47241","IV-TELECOM-AS","Joint Stock Company TransTeleCom","RU","","","RU",2008-05-22
"4775","GLOBE-TELECOM-AS","Globe Telecoms","PH","","Mostly Outbound","PH",1996-08-09
"134033","MITHRILTELECOM-AS","Mithril Telecommunications Private Limited","IN","100-200Gbps","Balanced","",NA
"35444","DigicomAlbania-AS","Digicom Albania","AL","5-10Gbps","Mostly Inbound","AL",2005-08-09
"55839","MICROSENSE-AS-AP","Microsense Private Limited","IN","","Not Disclosed","IN",2010-11-05
"59253","LEASEWEB-APAC-SIN-11","Leaseweb Asia Pacific pte. ltd.","SG","","Heavy Outbound","SG",2013-12-09
"44901","belcloud","Belcloud LTD","BG","500-1000Gbps","Mostly Outbound","BG",2016-04-18
"54489","CORESPACE-DAL","CoreSpace, Inc.","US","","","US",2012-02-29
"35297","DATALINE-AS","Dataline LLC","UA","1-5Tbps","Balanced","UA",2005-07-11
"60140","BUZINESSWARE","Buzinessware FZCO","AE","","","AE",2014-05-01
"28644","Brasilsite TelecomunicaiÂ¿Â½iÂ¿Â½es Ltda.","Brasilsite TelecomunicaiÂ¿Â½iÂ¿Â½es Ltda.","BR","","","BR",2006-05-18
"262403","Net Way Telecom LTDA ME","Net Way Telecom LTDA ME","BR","20-50Gbps","Heavy Inbound","BR",2011-02-21
"29170","KUJTESA-AS","Kujtesa Net Sh.p.k.","AL","100-200Gbps","Balanced","AL",2003-06-20
"262791","EMI NET TELECOMUNICACOES LTDA","EMI NET TELECOMUNICACOES LTDA","BR","1-5Gbps","Balanced","BR",2010-09-27
"138754","KVBPL-AS-IN","Kerala Vision Broad Band Private Limited","IN","1-5Tbps","","",NA
"16397","EQUINIX BRASIL","EQUINIX BRASIL","BR","","","BR",2000-05-03
"265676","INTERSAT S.A.","INTERSAT S.A.","AR","5-10Gbps","Heavy Outbound","AR",2017-03-17
"14988","BTC-GATE1","Botswana Telecommunications Corporation","BW","","Not Disclosed","BW",2000-03-02
"134326","AIRDESIGNBROADCAST-AS","Airdesign Broadcast Media Pvt Ltd","IN","50-100Gbps","Balanced","",NA
"25454","ASN-OMD-FNO","Orange Moldova Fixed Network Autonomous System","MD","","Mostly Inbound","MD",2002-11-27
"18207","YOU-INDIA-AP","YOU Broadband & Cable India Ltd.","IN","100-200Gbps","Mostly Inbound","IN",2002-05-07
"38750","TDS-AS-ID","Telemedia Dinamika Sarana, PT","ID","","Not Disclosed","ID",2007-09-28
"266181","GOLDEN LINK","GOLDEN LINK","BR","300-500Gbps","Balanced","BR",2017-04-18
"2586","UNINET-AS","Sopruse pst 145","EE","","Not Disclosed","EE",1995-03-20
"24309","CABLELITE-AS-AP","Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA","IN","500-1000Gbps","Balanced","IN",2004-12-08
"31655","ASN-GammaTelecom","Gamma Telecom Holdings Ltd","GB","200-300Gbps","Mostly Inbound","GB",2004-07-02
"204997","FIRSTBYTE-AS","FIRST SERVER LIMITED","GB","","","GB",2017-11-22
"48524","INTERRA-AS","at Pervouralsk (Bilimbay, Severka, Sredneuralsk), Revda (Degtyarsk), Kachkanar, Lesnoy (N.Tura), Polevskoy, Krasnoufimsk, Asbest cities of Sverdlovsk reg","RU","","Not Disclosed","RU",2008-12-05
"34296","MILLENICOM-AS","Millenicom Telekomunikasyon Hizmetleri Anonim Sirketi","TR","","Mostly Inbound","TR",2004-12-10
"15774","TTK-RTL","Retail","RU","","","RU",2009-07-31
"35042","ISI-ASN","Layer7 Networks GmbH","DE","","","DE",2005-05-23
"197350","zaytona","AL Zaytona Company For Communication Ltd.","PS","5-10Gbps","Mostly Outbound","PS",2010-10-27
"51784","X-CITY-AS","""X-City"" Ltd.","UA","10-20Gbps","Mostly Inbound","UA",2010-11-04
"8732","COMCOR-AS","Moscow","RU","300-500Gbps","Balanced","RU",1998-03-26
"53094","Guanhaes Internet LTDA-ME","Guanhaes Internet LTDA-ME","BR","10-20Gbps","Mostly Inbound","BR",2009-11-10
"3549","LVLT-3549","Level 3 Parent, LLC","US","10-20Tbps","Balanced","US",2000-03-21
"23647","CCNEP-AS-NP","Communications & Communicate Nepal Pvt Ltd","NP","10-20Gbps","Mostly Inbound","NP",2003-02-13
"138311","LIMERICK-AS-IN","Limerick Technologies Pvt Ltd","IN","50-100Gbps","Mostly Inbound","",NA
"59355","AACL-AS-AP","Arif Azim Co LTD. First Floor, Zarnigar Hotel,","AF","","Not Disclosed","AF",2014-05-07
"11427","TWC-11427-TEXAS","Charter Communications Inc","US","","Not Disclosed","US",2000-06-09
"38247","VIETNAMOBILE-AS-VN","Vietnamobile Telecommunications Joint Stock Company","VN","","","",NA
"28202","Rede Brasileira de Comunicacao S/A","Rede Brasileira de Comunicacao S/A","BR","200-300Gbps","Mostly Inbound","BR",2008-04-09
"28394","Bicentel SA de CV","Bicentel SA de CV","MX","","Not Disclosed","MX",2014-07-15
"31036","NEWTELESYSTEMS","JSC ""ER-Telecom Holding""","RU","","Not Disclosed","RU",2004-02-12
"51121","FOBOSS-NET","Foboss-Telecom LLC","UA","","","UA",2010-06-03
"49311","RTS-AS","Regional TeleSystems Ltd.","RU","","","RU",2009-05-15
"25180","EXPONENTIAL-E-AS","Exponential-E Ltd.","GB","","Balanced","GB",2002-08-23
"6830","LibertyGlobal","Liberty Global (formerly UPC Broadband Holding, aka AORTA)","NL","","","NL",1996-11-13
"132438","APONIT-AS-AP","Evan Ahmed Bhuiyan t/a APON IT","BD","","","BD",2016-08-23
"63751","VCBS-AS-VN","Vietcombank securities Company limited","VN","","","",NA
"17809","VEETIME-TW-AP","VEE TIME CORP.","TW","20-50Gbps","Mostly Inbound","TW",2001-07-04
"196900","AXALNET-AS","Axalnet, s.r.o.","SK","","","SK",2011-07-28
"58322","halasat","Hala Al Rafidain Company for Communications and Internet LTD.","IQ","20-50Gbps","Heavy Inbound","IQ",2012-06-25
"14416","BRAVO-NET","Internet de Nuevo Laredo, S.A de C.V.","US","","","US",1999-12-08
"15419","LRTC-AS","SC ""Lithuanian Radio and TV Center""","LT","50-100Gbps","Mostly Inbound","LT",2002-11-19
"136358","OMSAI-AS","Omsai Cable Systems India Pvt Ltd","IN","1-5Gbps","Mostly Inbound","",NA
"6619","SAMSUNGSDS-AS-KR","SamsungSDS Inc.","KR","100-1000Mbps","Balanced","KR",2002-08-01
"48642","FOR-AS","Russia","RU","","Balanced","RU",2008-12-22
"3326","Datagroup","""Datagroup"" PJSC","UA","1-5Tbps","Balanced","UA",1995-03-06
"17769","CITYNET-AP","PT Indopratama Teleglobal (ISP)Wisma BSG Floor 6","ID","","Not Disclosed","ID",2001-05-31
"58736","DFLL-BD","Dhaka Fiber Link Ltd.","BD","","Balanced","BD",2012-11-14
"55967","Baidu","AS55967","CN","","Heavy Outbound","",NA
"36994","Vodacom-VB","Vodacom Bussiness","ZA","500-1000Gbps","Mostly Inbound","ZA",2007-12-13
"9657","MELSANET-ID-AP","Melsa-i-net AS","ID","10-20Gbps","Mostly Inbound","ID",1999-09-03
"63996","MNL-AS-AP","Mazeda Networks Limited","BD","10-20Gbps","Balanced","BD",2015-06-15
"56428","SANNET-AS","PE Chuev Alexandr Anatolyevich","UA","","","UA",2011-02-18
"45815","HOSTCOIN-AS-IN-AP","ESDS Software Solution Limited.","IN","10-20Gbps","Balanced","IN",2009-06-24
"132215","POWERGRID-IN","Power Grid Corporation of India Limited","IN","","Mostly Outbound","IN",2012-03-23
"196767","INMART1-AS","INMART.UA LLC","RU","","","RU",2009-05-18
"51468","ONECOM","One.com A/S","DK","20-50Gbps","Mostly Outbound","DK",2010-09-01
"134238","CT-Jiangxi-IDC","CHINANET Jiangx province IDC network","CN","","","CN",2015-06-11
"18978","ENZUINC-US","Enzu Inc","US","1-5Tbps","Mostly Outbound","US",2011-01-04
"57256","Pros","Pros-Services S.A.R.L.","LB","20-50Gbps","Not Disclosed","LB",2011-09-07
"41798","TTC-AS","JSC Transtelecom","KZ","300-500Gbps","Mostly Inbound","KZ",2006-10-26
"58678","INTECHONLINE-IN","Intech Online Private Limited","IN","100-200Gbps","Balanced","IN",2012-08-10
"42610","NCNET-AS","PJSC Rostelecom (ex NCNET )","RU","300-500Gbps","Balanced","RU",2007-03-22
"262274","Viveiros & Araujo Serv de Prov da Int Ltda - EPP","Viveiros & Araujo Serv de Prov da Int Ltda - EPP","BR","20-50Gbps","Mostly Inbound","BR",2012-06-22
"262394","Internet 5.8 Ltda-ME","Internet 5.8 Ltda-ME","BR","10-20Gbps","Mostly Inbound","BR",2012-02-23
"30722","VODAFONE-IT-ASN","Vodafone Italia S.p.A.","IT","500-1000Gbps","Mostly Inbound","IT",2003-11-17
"1759","TSF-IP-Core","Telia Finland Oyj","FI","500-1000Gbps","Balanced","FI",1993-09-01
"262901","Vcnet Provedora de Internet Ltda.","Vcnet Provedora de Internet Ltda.","BR","10-20Gbps","Heavy Inbound","BR",2011-02-03
"45194","SIPL-AS","Syscon Infoway Pvt. Ltd.","IN","300-500Gbps","Mostly Inbound","IN",2008-04-28
"61834","JACOMELI TELECOM","JACOMELI TELECOM","BR","","Mostly Inbound","BR",2014-07-02
"134375","FWSPL-AS-AP","Fusionnet Web Services Private Limited","IN","50-100Gbps","Balanced","IN",2015-07-09
"9430","STPI-NOIDA","Software Technology Parks of India,Block-IV","IN","","","IN",1998-10-19
"35773","ICONNECT-AS","Pazardjik, Bulgaria","BG","5-10Gbps","Mostly Inbound","BG",2005-10-24
"10292","CWJ-1","Cable & Wireless Jamaica","JM","100-200Gbps","Mostly Inbound","JM",1997-06-13
"28343","Unifique TelecomunicaiÂ¿Â½iÂ¿Â½es SA","Unifique TelecomunicaiÂ¿Â½iÂ¿Â½es SA","BR","","","BR",2007-09-14
"9484","MOBINET-AS-MN","Mobinet LLC. AS Mobinet Internet Service Provider","MN","5-10Gbps","Balanced","MN",2002-09-30
"33576","DIG001","Digicel Jamaica","JM","200-300Gbps","Mostly Inbound","JM",2005-01-26
"51214","VIKS-NET","Vikscom Ltd.","RU","","","RU",2010-06-24
"44027","SPITAMEN_ALEXANDER_INTERNET-AS","Spitamen Alexander Internet LLC.","TJ","","","TJ",2007-11-06
"53850","GORILLASERVERS","GorillaServers, Inc.","US","","Not Disclosed","US",2011-07-14
"327931","Optimum-Telecom-Algeria","Optimum Telecom Algeria","DZ","","Not Disclosed","DZ",2015-09-16
"2711","SPIRITTEL-AS","Spirit Communications","US","","Mostly Inbound","US",1993-07-09
"31148","FREENET_LLC","Freenet LTD","UA","300-500Gbps","Mostly Inbound","UA",2004-03-09
"29550","SIMPLYTRANSIT","Simply Transit Ltd","GB","","Mostly Outbound","GB",2003-10-09
"268144","IMPLANTAR TELECOM SOCIEDADE LIMITADA","IMPLANTAR TELECOM SOCIEDADE LIMITADA","BR","1-5Gbps","Mostly Inbound","BR",2019-01-18
"138538","NANBIAN-VPSORGLOBAL-AS","VPSOR-GLOBAL","HK","1-5Gbps","Balanced","CN",2019-01-04
"396073","MAJESTIC-HOSTING-01","Majestic Hosting Solutions, LLC","US","100-200Gbps","Balanced","US",2018-11-06
"22411","GTD PERAÂ S.A","GTD PERAÂ S.A","PE","1-5Gbps","Balanced","PE",2001-09-25
"28126","BRISANET SERVICOS DE TELECOMUNICACOES LTDA","BRISANET SERVICOS DE TELECOMUNICACOES LTDA","BR","1-5Tbps","Heavy Inbound","BR",2008-12-12
"32","STANFORD","Stanford University","US","","","US",1984-09-24
"23772","ORTELNET-AS","M/s Ortel Communications  Ltd","IN","5-10Gbps","Mostly Inbound","IN",2003-06-16
"45424","HONS-AS-NP","Network Pool Allocated for HONS Network","NP","100-1000Mbps","Heavy Outbound","NP",2008-09-02
"205893","WIFITELEKOM-AS","Wifi Telekom/wifi.net.tr","TR","","Not Disclosed","TR",2017-05-11
"133495","VISIONTEL-PK","Vision telecom Private limited","PK","1-5Gbps","Balanced","PK",2014-05-23
"17488","HATHWAY-NET-AP","Hathway IP Over Cable Internet","IN","500-1000Gbps","Balanced","IN",2000-11-28
"10834","Telefonica de Argentina","Telefonica de Argentina","AR","","Not Disclosed","AR",1997-12-08
"31200","NTK","IPv6 customers","RU","100-200Gbps","Mostly Inbound","RU",2004-03-22
"264161","FGTECH INFORMATICA LTDA","FGTECH INFORMATICA LTDA","BR","10-20Gbps","Heavy Outbound","BR",2015-03-19
"10796","TWC-10796-MIDWEST","Charter Communications Inc","US","","Heavy Inbound","US",2000-06-09
"266428","R L A World Net LTDA","R L A World Net LTDA","BR","50-100Gbps","Not Disclosed","BR",2016-12-15
"136364","MYGURU-AS","Myguru Online India Pvt Ltd","IN","1-5Gbps","Balanced","",NA
"264162","NC BRASIL TELECOM E SERVICOS LTDA- ME","NC BRASIL TELECOM E SERVICOS LTDA- ME","BR","20-50Gbps","Mostly Outbound","BR",2015-03-20
"55666","GMEDIA-AS-ID","PT Media Sarana Data","ID","50-100Gbps","Mostly Inbound","",NA
"268789","MUSTANET PROVEDOR DE INTERNET EIRELI","MUSTANET PROVEDOR DE INTERNET EIRELI","BR","5-10Gbps","Mostly Inbound","BR",2019-03-15
"269147","VALE VERDE TELECOMUNICACOES LTDA - ME","VALE VERDE TELECOMUNICACOES LTDA - ME","BR","","","BR",2019-07-16
"19182","TELEFiÂ¿Â½NICA BRASIL S.A","TELEFiÂ¿Â½NICA BRASIL S.A","BR","","Not Disclosed","BR",2001-06-20
"59138","IDNIC-UNISBANK-AS-ID","Universitas STIKUBANK","ID","","Not Disclosed","",NA
"134418","CHINATELECOM-SHAANXI-XIXIAN-SMARTCloud-IDC","SHAANXI province","CN","","","",NA
"31042","SERBIA-BROADBAND-AS","Serbia BroadBand-Srpske Kablovske mreze d.o.o.","RS","","Balanced","RS",2004-02-12
"60471","Mobitel-BGP","Mobitel sh.p.k.","AL","10-20Gbps","Mostly Inbound","AL",2013-07-12
"23338","ASN-DCS-01","DCS Pacific Star, LLC","US","","","US",2009-11-12
"135821","SONICWIRELESS-AS","Sonic Wireless Technologies","IN","","","",NA
"62314","ATMOSPHERICA-AS","Atmospherica Ltd.","RU","","","RU",2013-11-12
"41704","OGS-AS","JSC ""Ufanet""","RU","","Not Disclosed","RU",2006-10-11
"60721","bursabil","Bursabil Teknoloji A.S.","TR","","Not Disclosed","TR",2013-05-23
"7590","COMSATS","Commission on Science and Technology for","PK","","","PK",1997-07-01
"31496","ATNET-AS","Arkhangelsk branch","RU","","","RU",2004-05-28
"53162","VOIPGLOBE SERVICOS DE COM MULTIMIDIA VIA INTERNET","VOIPGLOBE SERVICOS DE COM MULTIMIDIA VIA INTERNET","BR","20-50Gbps","Not Disclosed","BR",2010-07-05
"31208","MF-CENTER-AS","PJSC MegaFon","RU","","","RU",2004-03-23
"135517","Pandora-Technology-AS-AP","Pandora Technology","BD","","","BD",2016-05-30
"50780","ISP-EASTNET-AS","EAST-NET Ltd","UA","","","UA",2010-03-24
"262527","ZECTA TELECOMUNICACOES LTDA","ZECTA TELECOMUNICACOES LTDA","BR","5-10Gbps","Mostly Inbound","BR",2011-07-08
"17623","CNCGROUP-SZ","China Unicom Shenzen network","CN","","","",NA
"29049","Delta-Telecom-AS","International Communication Operator","AZ","1-5Tbps","Balanced","AZ",2003-05-20
"13156","AS13156","Palmela","PT","50-100Gbps","Mostly Inbound","PT",2000-04-12
"28683","SBIN","SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES","BJ","100-1000Mbps","Mostly Inbound","BJ",2010-03-11
"25472","WIND-AS","Nova Telecommunications & Media Single Member S.A","GR","100-200Gbps","Mostly Inbound","GR",2002-12-04
"204154","FIRST-SERVER-US-AS","FIRST SERVER LIMITED","GB","","","GB",2018-04-11
"32475","SINGLEHOP-LLC","SingleHop LLC","US","","","US",2005-07-21
"131724","IDNIC-DISKOMINFO-JATENG-AS-ID","DISKOMINFO PROV. JAWA TENGAH","ID","","Not Disclosed","",NA
"43022","UA-SEECH","Zaporizhzhia, Soborniy av. 170b","UA","10-20Gbps","Mostly Inbound","UA",2007-05-24
"262502","FLYLink Telecom","FLYLink Telecom","BR","20-50Gbps","Mostly Inbound","BR",2011-06-16
"38994","RIPE NCC ASN block","RIPE NCC ASN block","","","","",NA
"197207","MCCI-AS","Mobile Communication Company of Iran PLC","IR","","Not Disclosed","IR",2012-09-17
"61931","EGTECH TELECOM LTDA","EGTECH TELECOM LTDA","BR","","","",NA
"8551","BEZEQ-INTERNATIONAL-AS","Bezeqint Internet Backbone","IL","500-1000Gbps","Mostly Inbound","IL",1997-11-17
"29013","LinkKremen-AS","Telecommunication company ""Link Telecom"" LTD","UA","","Not Disclosed","UA",2011-03-24
"137443","ANCHGLOBAL-AS-AP","Anchnet Asia Limited","HK","50-100Gbps","Balanced","HK",2018-02-07
"53237","TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS","TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS","BR","10-20Gbps","Heavy Inbound","BR",2010-12-10
"25513","ASN-MGTS-USPD","PJSC Moscow city telephone network","RU","","Not Disclosed","RU",2002-12-17
"136969","KKNETWROK-AS-AP","KK Networks (Pvt) Ltd.","PK","","","PK",2017-09-12
"18809","Cable Onda","Cable Onda","PA","300-500Gbps","Heavy Inbound","PA",2000-10-13
"50887","DCFH-AS","DC FIBER HOME SRL","RO","","","RO",2010-04-15
"45271","ICLNET-AS-AP","Idea Cellular Limited","IN","","","IN",2008-07-18
"52807","LIGO TELECOMUNICACOES LTDA - ME","LIGO TELECOMUNICACOES LTDA - ME","BR","10-20Gbps","Balanced","BR",2012-10-05
"134840","MCCL-AS-AP","Myanmar Country Co., Ltd.","MM","300-500Gbps","Not Disclosed","MM",2015-11-27
"17787","PSEB-AS-PK","Pakistan Software Export Board","PK","","","PK",2001-06-08
"262753","VOCE TELECOMUNICACOES LTDA","VOCE TELECOMUNICACOES LTDA","BR","200-300Gbps","Mostly Inbound","BR",2010-07-21
"13189","LIDERO","Lidero Network","SE","","Mostly Inbound","SE",2000-04-27
"135223","NETWAY-AS","Netway Internet Pvt Ltd","IN","","Balanced","",NA
"9125","ORIONTELEKOM-AS","Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun","RS","50-100Gbps","Balanced","RS",1998-12-30
"262831","N G B Pires & CIA LTDA","N G B Pires & CIA LTDA","BR","","","BR",2010-11-22
"3209","VODANET","International IP-Backbone of Vodafone","DE","","Mostly Inbound","DE",1994-04-06
"25769","GVTEL","Garden Valley Telephone Company","US","","","US",2002-05-03
"31725","SHTORM-AS","ISP Shtorm LTD","UA","20-50Gbps","Mostly Inbound","UA",2004-07-26
"28210","SUMICITY TELECOMUNICACOES S.A.","SUMICITY TELECOMUNICACOES S.A.","BR","500-1000Gbps","Mostly Inbound","BR",2008-05-12
"62206","PITLINE-AS","Pitline Ltd","UA","100-200Gbps","Balanced","UA",2013-12-24
"263099","STIW Sistema de Telecom. Inf e Wireless LTDA","STIW Sistema de Telecom. Inf e Wireless LTDA","BR","5-10Gbps","Balanced","BR",2012-04-27
"48711","RIPE NCC ASN block","RIPE NCC ASN block","","","","",NA
"3253","SOVINTEL-EF-AS","PJSC ""Vimpelcom""","RU","","","RU",1994-09-16
"63835","CT-HuNan-Changsha-IDC","No.293,Wanbao Avenue","CN","","","CN",2014-10-15
"8376","UNSPECIFIED","Jordan Data Communications Company LLC","JO","","","JO",1997-07-10
"39623","RIPE NCC ASN block","RIPE NCC ASN block","","","","",NA
"31566","ASSKYNETWORK","-= SAS =-","RU","","","RU",2011-02-04
"135615","DNETSERVICE-AS-AP","D-NET SERVICE","BD","","","BD",2016-10-06
"56264","TOMATOWEB-BD","Tomato Web (Pvt) Limited","BD","10-20Gbps","Mostly Inbound","BD",2011-05-04
"9557","PKTELECOM-AS-PK","Paknet Limited Merged into PTCL","PK","","","PK",1999-07-01
"18049","TINP-TW","Taiwan Infrastructure Network Technologie","TW","10-20Gbps","Heavy Inbound","",NA
"43132","KBT-AS","PJSC Rostelecom( Branch Kabbalktelekom)","RU","","","RU",2007-06-12
"38193","TWA-AS-AP","Transworld Associates (Pvt.) Ltd.","PK","","Mostly Inbound","PK",2006-08-02
"30881","TENSOR-AS","Yaroslavl' branch","RU","","","RU",2004-01-05
"132768","FIVENETWORK-AS-IN","Five network Broadband Solution Pvt Ltd","IN","50-100Gbps","Mostly Inbound","",NA
"135851","PARTHIV-AS","Excogitate Technologies Pvt Ltd","IN","20-50Gbps","Balanced","",NA
"201167","castel-as","Caspian Telecom LLC","AZ","","Mostly Inbound","AZ",2015-01-12
"39728","Luganet","Likhno Dmitriy trading as Luganet","RU","","","RU",2006-04-18
"23949","COMNET-AS-ID","PT Comtronics Systems","ID","100-1000Mbps","Mostly Inbound","",NA
"136377","Linkwave-AS","Linkwave Technologies Pvt. Ltd","IN","5-10Gbps","Balanced","",NA
"23243","COMCEL GUATEMALA S.A.","COMCEL GUATEMALA S.A.","GT","","","GT",2002-02-13
"9821","DOST-PH-AP","Department of Science and Technology","PH","5-10Gbps","Mostly Inbound","PH",2000-01-11
"34703","PRTNET-AS","LTD Pokrovsky radiotelefon","RU","","","RU",2007-08-22
"12668","MIRALOGIC-AS","LLC ""KomTehCentr""","RU","20-50Gbps","Mostly Inbound","RU",1999-09-21
"39814","ITServ","SIA ""IT Services""","LV","","","LV",2017-10-23
"264575","Nexfibra TelecomunicaiÂ¿Â½iÂ¿Â½es Ltda","Nexfibra TelecomunicaiÂ¿Â½iÂ¿Â½es Ltda","BR","10-20Gbps","Mostly Inbound","",NA
"9335","cat-Cloud-AP","CAT Telecom Public Company Limited","TH","","Not Disclosed","TH",2016-05-11
"37113","tangerine-ug-as","Tangerine Limited","UG","","Mostly Inbound","UG",2009-07-07
"58898","RAINBOWISP-AS","Rainbow communications India Pvt Ltd","IN","20-50Gbps","Mostly Inbound","",NA
"53169","Tche Turbo Provedor de Internet LTDA","Tche Turbo Provedor de Internet LTDA","BR","50-100Gbps","Mostly Inbound","BR",2010-06-10
"17439","NETMAGIC-AP","Netmagic Datacenter Mumbai","IN","","Not Disclosed","IN",2000-10-30
"10299","EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.","EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.","CO","50-100Gbps","Balanced","CO",1997-06-20
"21502","ASN-NUMERICABLE","Societe Francaise Du Radiotelephone - SFR SA","FR","300-500Gbps","Mostly Inbound","FR",2002-01-04
"28132","TRI TELECOM LTDA","TRI TELECOM LTDA","BR","","Heavy Inbound","BR",2009-02-18
"62240","Clouvider","Clouvider - Global ASN","GB","500-1000Gbps","Balanced","GB",2013-12-12
"28885","OMANTEL-NAP-AS","OmanTel NAP","OM","","","OM",2003-03-26
"264493","","","","","","",NA
"24961","MYLOC-AS","IP Backbone of myLoc managed IT AG","DE","300-500Gbps","Mostly Outbound","DE",2002-06-10
"265317","TRIXNET SERVIiÂ¿Â½OS DE TELEINFORMATICA LTDA","TRIXNET SERVIiÂ¿Â½OS DE TELEINFORMATICA LTDA","BR","20-50Gbps","Not Disclosed","BR",2016-02-05
"12989","StackPath","StackPath LLC","US","1-5Tbps","Heavy Outbound","US",2003-05-12
"45061","SIN","Shanghai Information Network Co.,Ltd.","CN","","","",NA
"263915","Connectronic Servicos Ltda","Connectronic Servicos Ltda","BR","1-5Gbps","Mostly Inbound","BR",2015-08-10
"38976","RU-ATVC-AS","PJSC Rostelecom","RU","","","RU",2005-11-22
"264628","CORPORACION FIBEX TELECOM, C.A.","CORPORACION FIBEX TELECOM, C.A.","VE","50-100Gbps","Mostly Inbound","VE",2015-11-25
"56917","DALTECH-AS","DalTech Ltd","RU","","","RU",2011-06-10
"25620","COTAS LTDA.","COTAS LTDA.","BO","20-50Gbps","Heavy Inbound","BO",2002-04-10
"25086","URALTC-AS","MTS PJSC","RU","","","RU",2002-07-22
"43182","ITTITT-AS","ITT Ltd.","RU","","Not Disclosed","RU",2007-06-20
"39240","SVYAZTELECOM-AS","SvyazTelecom Ltd.","RU","","","RU",2011-03-31
"50556","OOO_KISS","OOO KISS","RU","","","RU",2010-02-10
"262450","NORTENET TELECOMUNICACOES DO BRASIL LTDA - EPP","NORTENET TELECOMUNICACOES DO BRASIL LTDA - EPP","BR","100-1000Mbps","Balanced","BR",2011-04-20
"32875","VIRPUS","Wowrack.com","US","","","US",2008-04-02
"11845","Vox-Telecom","Vox Telecom Ltd","ZA","20-50Gbps","Balanced","ZA",1999-01-14
"11081","United Telecommunication Services (UTS)","United Telecommunication Services (UTS)","CW","","Heavy Inbound","CW",1998-04-02
