"asn","name","description","country_code","traffic_estimation","traffic_ratio","rir_country_code","rir_date_allocated"
"131618","CARL-NET","Carl International Information ltd.","TW","5-10Gbps","Balanced","",NA
"55720","GIGABIT-MY","Gigabit Hosting Sdn Bhd","MY","50-100Gbps","Mostly Outbound","MY",2010-08-16
"31205","MF-SIB-AS","PJSC MegaFon","RU","","","RU",2004-03-22
"54994","ML-1432-54994","Meteverse Limited.","CA","20-50Tbps","Mostly Outbound","CA",2023-04-13
"58969","KCCL-AS","Kerala Communicators Cable Limited","IN","300-500Gbps","Balanced","",NA
"64050","BCPL-SG","BGPNET Global ASN","SG","1-5Tbps","Mostly Outbound","SG",2015-10-20
"35251","NetLab","Zhihua Lu","CA","","","CA",2019-10-03
"43624","RIPE NCC ASN block","RIPE NCC ASN block","","","","",NA
"55862","WNET-IN","Wan & Lan Internet Pvt Ltd","IN","","Mostly Inbound","IN",2010-11-10
"8100","ASN-QUADRANET-GLOBAL","QuadraNet Enterprises LLC","US","100-200Gbps","Balanced","US",2009-10-22
"15169","GOOGLE","Google LLC","US","","Mostly Outbound","US",2000-03-30
"47253","AS-BNETSET","BCI Telecommunication & Advanced Technology Company","PS","1-5Gbps","Mostly Outbound","PS",2008-05-26
"328608","Africa-on-Cloud-AS","Africa on Cloud","ZA","1-5Gbps","Balanced","ZA",2020-01-28
"269750","Gandalf Comunicaciones C.A.","Gandalf Comunicaciones C.A.","VE","","","VE",2019-08-13
"37133","airtel-tz-as","Airtel Tanzania","TZ","","Balanced","TZ",2009-08-25
"24413","Shanghai263","263 Shanghai Communications Ltd.","CN","","","",NA
"45474","NEXUSGUARD-AS-AP","NEXUSGUARD LIMITED","HK","","Mostly Inbound","HK",2008-10-15
"198110","VISTLINK-AS","LLC ""VISTlink""","RU","","","RU",2011-10-04
"201224","SKYPROX-AS","Tikhomirov Evgeny Viktorovich","RU","","","RU",2014-12-18
"266280","Saga Internet","Saga Internet","BR","5-10Gbps","","BR",2016-10-05
"43727","KVANT-TELECOM","JSC KVANT-TELEKOM","RU","1-5Tbps","Balanced","RU",2007-09-19
"36908","VTL-ASN","Vodacom Tanzania Ltd","TZ","","","TZ",2006-08-01
"134771","CHINATELECOM-ZHEJIANG-WENZHOU-IDC","WENZHOU, ZHEJIANG Province, P.R.China.","CN","","","",NA
"43815","NashProstir-LLC","Nash Prostir LLC","UA","","","UA",2016-12-20
"9038","BAT-AS9038","Batelco Jordan","JO","20-50Gbps","Mostly Inbound","JO",1998-11-03
"24567","QTINC-AS-AP","QT Inc.","JP","","","JP",2019-12-19
"265410","JL INFORMATICA E TELECOM LTDA - ME","JL INFORMATICA E TELECOM LTDA - ME","BR","","","BR",2016-08-11
"57172","GlobalLayer","Global Layer B.V.","NL","","","NL",2011-08-11
"264137","ClickNet Telecom","ClickNet Telecom","BR","10-20Gbps","Heavy Inbound","BR",2015-03-12
"9801","KUANCOM","A Building Haibo Masion, No.136 Xisihuan North Road,","CN","","","",NA
"45595","PKTELECOM-AS-PK","Pakistan Telecom Company Limited","PK","","","PK",2009-01-08
"36884","MAROCCONNECT","Wana Corporate","MA","","Not Disclosed","MA",2007-12-28
"28308","Orion TelecomunicaiÂ¿Â½iÂ¿Â½es Comercio e ServiiÂ¿Â½os LTDA","Orion TelecomunicaiÂ¿Â½iÂ¿Â½es Comercio e ServiiÂ¿Â½os LTDA","BR","5-10Gbps","Mostly Inbound","BR",2007-07-03
"22773","ASN-CXA-ALL-CCI-22773-RDC","Cox Communications Inc.","US","100-200Gbps","Mostly Inbound","US",2001-11-20
"34665","PINDC-AS","Petersburg Internet Network ltd.","RU","10-20Gbps","Not Disclosed","RU",2019-11-01
"23872","delDSLCORE-AS-AP","delDSL Internet Pvt. Ltd.","IN","","Not Disclosed","IN",2003-08-01
"13444","TRS-GL-01","TRS","US","","Not Disclosed","US",2020-03-02
"134963","ASEPL-AS-AP","Alibaba Cloud (Singapore) Private Limited","SG","","","SG",2015-12-09
"49453","GLOBALLAYER","Global Layer B.V.","NL","1-5Tbps","Mostly Outbound","NL",2016-02-09
"16832","SECOM-1","Secom, Inc","US","1-5Gbps","Heavy Inbound","US",2006-07-07
"28183","MICRON LINE SERVICOS DE INFORMATICA LTDA - ME","MICRON LINE SERVICOS DE INFORMATICA LTDA - ME","BR","5-10Gbps","Mostly Inbound","BR",2008-02-12
"52995","TEN INTERNET Ltda","TEN INTERNET Ltda","BR","10-20Gbps","Balanced","BR",2011-05-24
"15344","ASN15344-SLU","Karib Cable","LC","1-5Gbps","Mostly Inbound","LC",2007-01-18
"25019","SAUDINETSTC-AS","Saudi Telecom Company JSC","SA","","Not Disclosed","SA",2002-06-25
"7684","SAKURA-A","SAKURA Internet Inc.","JP","","Not Disclosed","",NA
"12876","AS12876","SCALEWAY S.A.S.","FR","1-5Tbps","Mostly Outbound","FR",1999-12-20
"58965","ABSPL-AS-IN","ANJANI BROADBAND SOLUTIONS PVT.LTD.","IN","50-100Gbps","Mostly Inbound","",NA
"19551","INCAPSULA","Incapsula Inc","US","1-5Tbps","Mostly Outbound","US",2011-01-12
"201912","asname_GlostrupKommune","Glostrup Kommune","DK","","","DK",2022-10-25
"57043","HOSTKEY-AS","www.hostkey.com","NL","20-50Gbps","Mostly Outbound","NL",2011-07-07
"205322","UNICONNECT","Uniconnect S.r.l","IT","5-10Gbps","Balanced","IT",2017-09-22
"3816","COLOMBIA TELECOMUNICACIONES S.A. ESP","COLOMBIA TELECOMUNICACIONES S.A. ESP","CO","5-10Tbps","Heavy Inbound","CO",1994-09-09
"16010","MagticomAS","Magticom","GE","200-300Gbps","Mostly Inbound","GE",2000-11-23
"22085","Claro S/A","Claro S/A","BR","","Mostly Inbound","BR",2001-08-07
"11562","Net Uno, C.A.","Net Uno, C.A.","VE","1-5Gbps","Balanced","VE",1998-10-06
"9381","HKBNES-AS-AP","HKBN Enterprise Solutions HK Limited","HK","","Balanced","HK",1998-08-17
"57396","ASIZBERBASH","PE Aliev Magomed Kadievich","RU","","","RU",2011-10-17
"201776","MIRANDA-AS","Miranda-Media Ltd","RU","500-1000Gbps","Mostly Inbound","RU",2014-07-16
"28761","CrimeaCom-LLC","CrimeaCom South LTD. Autonomous system","RU","100-200Gbps","Balanced","RU",2003-02-18
"6306","TELEFONICA VENEZOLANA, C.A.","TELEFONICA VENEZOLANA, C.A.","VE","","","VE",1996-02-29
"7602","SPT-AS-VN","Sai gon Postel Corporation","VN","20-50Gbps","Balanced","VN",2003-08-28
"263791","REFSA TELECOMUNICACIONES","REFSA TELECOMUNICACIONES","AR","100-1000Mbps","","AR",2015-06-26
"48832","Zain-Jo","Linkdotnet-Jordan","JO","","Not Disclosed","JO",2009-02-16
"9051","UNSPECIFIED","Beirut-Lebanon","LB","","Not Disclosed","LB",1998-11-06
"49877","AS49877-ASTORE","ASTOR TRADING LLC","UA","","","UA",2016-08-02
"36992","ETISALAT-MISR","Etisalat MISR","EG","100-200Gbps","Balanced","EG",2007-12-10
"48817","PRIZZTEL","PRIZZ TELECOM SAS","FR","","Not Disclosed","FR",2021-04-13
"42590","RIPE NCC ASN block","RIPE NCC ASN block","","1-5Gbps","Mostly Inbound","",NA
"44270","TKTOR","TC TOR LLC","RU","","","RU",2007-12-14
"3786","LGDACOM","LG DACOM Corporation","KR","1-5Tbps","Balanced","KR",2002-08-01
"34300","SPACENET-AS","Internet Service Provider","RU","5-10Gbps","Mostly Outbound","RU",2004-12-10
"45903","CMCTELECOM-AS-VN","CMC Telecom Infrastructure Company","VN","500-1000Gbps","Balanced","",NA
"12735","ASTurkNet","TurkNet Iletisim Hizmetleri A.S.","TR","100-200Gbps","Mostly Inbound","TR",1999-10-18
"50710","EarthLink-AS","Earthlink Telecommunications Equipment Trading & Services DMCC","AE","20-50Gbps","Balanced","AE",2010-03-12
"207566","LD007-AS","Chang Way Technologies Co. Limited","HK","","","HK",2020-01-13
"269321","VIEIRA E LARA LTDA","VIEIRA E LARA LTDA","BR","","","BR",2019-09-09
"263025","ISPTEC Sistemas de ComunicaiÂ¿Â½iÂ¿Â½o Eireli","ISPTEC Sistemas de ComunicaiÂ¿Â½iÂ¿Â½o Eireli","BR","5-10Gbps","Mostly Inbound","BR",2012-06-04
"3269","ASN-IBSNAZ","Telecom Italia S.p.A.","IT","","Not Disclosed","IT",1994-11-14
"50016","FORTES-AS","Przedsiebiorstwo Informatyczne FORTES J.Wasik, K.Niziolek Sp. j.","PL","5-10Gbps","Balanced","PL",2016-01-28
"28006","CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP","CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP","EC","","Not Disclosed","EC",2008-10-06
"38713","CONNECT2B-AS-PK","Broadband ISP, FTTH and Cable Service Provider","PK","","Mostly Inbound","PK",2007-08-27
